city,reservoir
Mumbai,Bhatsa
Pune,BHAMA ASKHED
Pune,Bhatghar
Pune,CHASKAMAN
Pune,DIMBHE DAM
Pune,Khadakwasla Reservoir
Pune,Manikdoh
Pune,Mulshi Dam
Pune,Niradevghar
Pune,PANSHET(TANAJISAGAR)
Pune,Thokarwadi
Kolhapur,Dudhganga
Sangli,Dhom
Nashik,DARNA DAM
Nashik,Girna Reservoir
Nashik,Upper Vaitarana Reservoir
Nagpur,Upper Wardha Reservoir
Aurangabad,Jayakwadi\Nath Sagar
Thane,Bhatsa
Solapur,Bhima\Ujjani Reservoir
Akola,Upper Wardha Reservoir
Amravati,Upper Wardha Reservoir
Satara,Dhom
Satara,Kanher Dam
Satara,Koyana/Shivaji Sagar
Satara,Urmodi
Satara,VEER DAM
Raigad,Bhatghar
Ratnagiri,TILLARI
Sindhudurg,TILLARI
Palghar,SURYA
Ahmednagar,Bhandardara
Ahmednagar,Jayakwadi\Nath Sagar
Ahmednagar,Mula Reservoir
Chiplun,TILLARI
Mahad,Bhatghar
Ichalkaranji,Dudhganga
Karad,Dhom
Miraj,Dhom
Nanded,Jayakwadi\Nath Sagar
Jalgaon,Upper Tapi\Hatnur Reservoir
Dhule,Upper Tapi\Hatnur Reservoir
Malegaon,DARNA DAM
Bhiwandi,Bhatsa
Panvel,Bhatghar
Kalyan,Bhatsa
Dombivli,Bhatsa
Vasai,SURYA
Virar,SURYA
Navi Mumbai,Bhatghar
Ulhasnagar,Bhatsa
Sangamner,Bhandardara
Baramati,BHAMA ASKHED
Osmanabad,Jayakwadi\Nath Sagar
Beed,Jayakwadi\Nath Sagar
Hingoli,Isapur Reservoir
Parbhani,Yeldari Reservoir
Latur,Yeldari Reservoir
Yavatmal,Upper Wardha Reservoir
Washim,Upper Wardha Reservoir
Buldhana,Jayakwadi\Nath Sagar
Wardha,Upper Wardha Reservoir
Chandrapur,Upper Wardha Reservoir
Gadchiroli,Upper Wardha Reservoir
Gondia,Upper Wardha Reservoir
Bhandara,Upper Wardha Reservoir
Hinganghat,Upper Wardha Reservoir
Pusad,Upper Wardha Reservoir
Achalpur,Upper Wardha Reservoir
Malkapur,Jayakwadi\Nath Sagar
Khamgaon,Jayakwadi\Nath Sagar
Jalna,Jayakwadi\Nath Sagar
Partur,Jayakwadi\Nath Sagar
Ghatanji,Upper Wardha Reservoir
Murtijapur,Upper Wardha Reservoir
Arvi,Upper Wardha Reservoir
Morshi,Upper Wardha Reservoir
Karanja,Upper Wardha Reservoir
Daryapur,Upper Wardha Reservoir
Telhara,Upper Wardha Reservoir
Mehkar,Jayakwadi\Nath Sagar
Lonar,Jayakwadi\Nath Sagar
Sillod,Jayakwadi\Nath Sagar
Vaijapur,Jayakwadi\Nath Sagar
Newasa,Bhandardara
Shrirampur,Bhandardara
Kopargaon,Bhandardara
Shrigonda,Bhandardara
Ashta,Dhom
Phaltan,Dhom
Wai,Dhom
Mahabaleshwar,Dhom
Panchgani,Dhom
Matheran,Bhatghar
Lonavala,BHAMA ASKHED
Khandala,BHAMA ASKHED
Talegaon,BHAMA ASKHED
Chakan,BHAMA ASKHED
Dehu,BHAMA ASKHED
Alandi,BHAMA ASKHED
Saswad,BHAMA ASKHED
Bhor,BHAMA ASKHED
Khed,BHAMA ASKHED
Rajgurunagar,BHAMA ASKHED
Ambegaon,BHAMA ASKHED
Junnar,BHAMA ASKHED
Narayangaon,BHAMA ASKHED
Manchar,BHAMA ASKHED
Ghodegaon,BHAMA ASKHED
Shirur,BHAMA ASKHED
Daund,BHAMA ASKHED
Indapur,BHAMA ASKHED
Purandar,BHAMA ASKHED
Velhe,BHAMA ASKHED
Mulshi,Mulshi Dam
Haveli,BHAMA ASKHED
Maval,BHAMA ASKHED
Khed,TILLARI
Dapoli,TILLARI
Mandangad,TILLARI
Kankavli,TILLARI
Kudal,TILLARI
Sawantwadi,TILLARI
Dodamarg,TILLARI
Vengurla,TILLARI
Malvan,TILLARI
Devgad,TILLARI
Vaibhavwadi,TILLARI
Lanja,TILLARI
Rajapur,TILLARI
Khed,TILLARI